"","Longitude","Latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Elevation"
"LANDB001A",-97.38333333,19,136,164,73,1497,247,25,222,141,115,152,114,622,115,6,81,315,27,119,29,2600
"LANDB001B",-97.38333333,19,136,164,73,1497,247,25,222,141,115,152,114,622,115,6,81,315,27,119,29,2600
"LANDB001C",-97.38333333,19,136,164,73,1497,247,25,222,141,115,152,114,622,115,6,81,315,27,119,29,2600
"LANDB002A",-100.65,18.35,281,144,62,2049,399,168,231,277,288,311,258,995,244,1,116,671,6,222,19,245
"LANDB002B",-100.65,18.35,281,144,62,2049,399,168,231,277,288,311,258,995,244,1,116,671,6,222,19,245
"LANDB002C",-100.65,18.35,281,144,62,2049,399,168,231,277,288,311,258,995,244,1,116,671,6,222,19,245
"LANDB003A",-92.63,16.75,138,127,73,1153,219,47,172,148,126,149,121,1201,215,20,72,558,74,549,77,2131
"LANDB003B",-92.63,16.75,138,127,73,1153,219,47,172,148,126,149,121,1201,215,20,72,558,74,549,77,2131
"LANDB003C",-92.63,16.75,138,127,73,1153,219,47,172,148,126,149,121,1201,215,20,72,558,74,549,77,2131
"LANDB004A",-95.001338,16.478858,275,100,65,1516,351,199,152,283,259,291,253,889,228,3,113,527,11,274,13,28
"LANDB004B",-95.001338,16.478858,275,100,65,1516,351,199,152,283,259,291,253,889,228,3,113,527,11,274,13,28
"LANDB004C",-95.001338,16.478858,275,100,65,1516,351,199,152,283,259,291,253,889,228,3,113,527,11,274,13,28
"LANDB005A",-107.755055,29.354404,121,187,52,5820,300,-54,354,186,118,195,46,517,127,6,96,339,33,285,63,2145
"LANDB005B",-107.755055,29.354404,121,187,52,5820,300,-54,354,186,118,195,46,517,127,6,96,339,33,285,63,2145
"LANDB005C",-107.755055,29.354404,121,187,52,5820,300,-54,354,186,118,195,46,517,127,6,96,339,33,285,63,2145
"LANDB006A",-104.563018,29.566727,210,179,47,7351,387,10,377,288,130,299,112,290,75,4,90,174,18,130,20,798
"LANDB006B",-104.563018,29.566727,210,179,47,7351,387,10,377,288,130,299,112,290,75,4,90,174,18,130,20,798
"LANDB006C",-104.563018,29.566727,210,179,47,7351,387,10,377,288,130,299,112,290,75,4,90,174,18,130,20,798
"LANDB007A",-103.478062,22.902593,158,169,62,3286,288,16,272,186,143,195,112,477,109,3,94,290,16,189,57,2019
"LANDB007B",-103.478062,22.902593,158,169,62,3286,288,16,272,186,143,195,112,477,109,3,94,290,16,189,57,2019
"LANDB007C",-103.478062,22.902593,158,169,62,3286,288,16,272,186,143,195,112,477,109,3,94,290,16,189,57,2019
"LANDB008A",-100,21.93333333,216,142,58,3371,335,91,244,241,186,251,169,512,114,6,82,270,29,201,42,994
"LANDB008B",-100,21.93333333,216,142,58,3371,335,91,244,241,186,251,169,512,114,6,82,270,29,201,42,994
"LANDB008C",-100,21.93333333,216,142,58,3371,335,91,244,241,186,251,169,512,114,6,82,270,29,201,42,994
"LANDB009A",-99.8,20.7,166,161,66,2362,286,45,241,186,134,193,133,598,114,8,80,313,34,191,40,2039
"LANDB009B",-99.8,20.7,166,161,66,2362,286,45,241,186,134,193,133,598,114,8,80,313,34,191,40,2039
"LANDB009C",-99.8,20.7,166,161,66,2362,286,45,241,186,134,193,133,598,114,8,80,313,34,191,40,2039
"LANDB010A",-105.1666667,21.2,256,119,64,2684,336,151,185,286,242,286,220,1469,413,2,124,1123,15,1123,44,8
"LANDB010B",-105.1666667,21.2,256,119,64,2684,336,151,185,286,242,286,220,1469,413,2,124,1123,15,1123,44,8
"LANDB010C",-105.1666667,21.2,256,119,64,2684,336,151,185,286,242,286,220,1469,413,2,124,1123,15,1123,44,8
"LANDB011A",-97.867153,17.190837,163,169,74,1241,271,44,227,170,145,178,145,1310,258,9,92,739,53,402,53,2338
"LANDB011B",-97.867153,17.190837,163,169,74,1241,271,44,227,170,145,178,145,1310,258,9,92,739,53,402,53,2338
"LANDB011C",-97.867153,17.190837,163,169,74,1241,271,44,227,170,145,178,145,1310,258,9,92,739,53,402,53,2338
"LANDB012A",-93.71666667,16.7,238,118,67,1673,323,149,174,252,223,256,215,895,181,10,92,502,30,263,52,547
"LANDB012B",-93.71666667,16.7,238,118,67,1673,323,149,174,252,223,256,215,895,181,10,92,502,30,263,52,547
"LANDB012C",-93.71666667,16.7,238,118,67,1673,323,149,174,252,223,256,215,895,181,10,92,502,30,263,52,547
"LANDB013A",-102.2666667,19.65,142,149,65,1980,253,25,228,155,136,164,113,1169,256,5,100,723,25,508,38,2287
"LANDB013B",-102.2666667,19.65,142,149,65,1980,253,25,228,155,136,164,113,1169,256,5,100,723,25,508,38,2287
"LANDB013C",-102.2666667,19.65,142,149,65,1980,253,25,228,155,136,164,113,1169,256,5,100,723,25,508,38,2287
"LANDB014A",-99.36666667,18.71666667,235,161,68,1812,354,120,234,241,213,258,211,957,209,4,105,588,19,283,28,952
"LANDB014B",-99.36666667,18.71666667,235,161,68,1812,354,120,234,241,213,258,211,957,209,4,105,588,19,283,28,952
"LANDB014C",-99.36666667,18.71666667,235,161,68,1812,354,120,234,241,213,258,211,957,209,4,105,588,19,283,28,952
"LANDB015A",-106.6333333,28.53333333,144,173,52,5589,303,-27,330,198,115,208,67,438,134,4,114,317,13,267,24,2141
"LANDB015B",-106.6333333,28.53333333,144,173,52,5589,303,-27,330,198,115,208,67,438,134,4,114,317,13,267,24,2141
"LANDB015C",-106.6333333,28.53333333,144,173,52,5589,303,-27,330,198,115,208,67,438,134,4,114,317,13,267,24,2141
"LANDB016A",-110.367266,29.43544,228,175,53,5984,389,61,328,302,214,303,155,460,140,4,108,312,19,267,73,390
"LANDB016B",-110.367266,29.43544,228,175,53,5984,389,61,328,302,214,303,155,460,140,4,108,312,19,267,73,390
"LANDB016C",-110.367266,29.43544,228,175,53,5984,389,61,328,302,214,303,155,460,140,4,108,312,19,267,73,390
"LANDB017A",-97.21666667,17.45,165,173,72,1394,281,44,237,173,146,182,145,648,138,5,87,338,19,246,24,2083
"LANDB017B",-97.21666667,17.45,165,173,72,1394,281,44,237,173,146,182,145,648,138,5,87,338,19,246,24,2083
"LANDB017C",-97.21666667,17.45,165,173,72,1394,281,44,237,173,146,182,145,648,138,5,87,338,19,246,24,2083
"LANDB018A",-89.13333333,17.08333333,247,88,62,1659,312,172,140,248,242,264,224,1448,194,40,45,520,143,313,259,97
"LANDB018B",-89.13333333,17.08333333,247,88,62,1659,312,172,140,248,242,264,224,1448,194,40,45,520,143,313,259,97
"LANDB018C",-89.13333333,17.08333333,247,88,62,1659,312,172,140,248,242,264,224,1448,194,40,45,520,143,313,259,97
"LANDB019A",-102.1666667,21.01666667,176,170,63,2745,304,37,267,202,169,208,138,723,185,5,109,478,19,333,30,2055
"LANDB019B",-102.1666667,21.01666667,176,170,63,2745,304,37,267,202,169,208,138,723,185,5,109,478,19,333,30,2055
"LANDB019C",-102.1666667,21.01666667,176,170,63,2745,304,37,267,202,169,208,138,723,185,5,109,478,19,333,30,2055
"LANDB020A",-104.8833333,21.71666667,246,128,65,2313,335,139,196,269,240,271,215,1437,418,1,129,1134,13,914,55,177
"LANDB020B",-104.8833333,21.71666667,246,128,65,2313,335,139,196,269,240,271,215,1437,418,1,129,1134,13,914,55,177
"LANDB020C",-104.8833333,21.71666667,246,128,65,2313,335,139,196,269,240,271,215,1437,418,1,129,1134,13,914,55,177
"LANDB021A",-101.5833333,21.88333333,164,159,63,2708,285,34,251,189,157,194,126,494,101,9,79,268,36,211,43,2213
"LANDB021B",-101.5833333,21.88333333,164,159,63,2708,285,34,251,189,157,194,126,494,101,9,79,268,36,211,43,2213
"LANDB021C",-101.5833333,21.88333333,164,159,63,2708,285,34,251,189,157,194,126,494,101,9,79,268,36,211,43,2213
"LANDB022A",-104.469957,22.274119,211,150,62,2776,326,86,240,234,218,242,172,832,219,3,106,561,18,333,78,648
"LANDB022B",-104.469957,22.274119,211,150,62,2776,326,86,240,234,218,242,172,832,219,3,106,561,18,333,78,648
"LANDB022C",-104.469957,22.274119,211,150,62,2776,326,86,240,234,218,242,172,832,219,3,106,561,18,333,78,648
"LANDB023A",-107.5,28.55,135,193,55,5451,307,-43,350,195,98,203,64,479,134,5,112,341,21,296,43,2046
"LANDB023B",-107.5,28.55,135,193,55,5451,307,-43,350,195,98,203,64,479,134,5,112,341,21,296,43,2046
"LANDB023C",-107.5,28.55,135,193,55,5451,307,-43,350,195,98,203,64,479,134,5,112,341,21,296,43,2046
"LANDB024A",-100.726374,28.26979,218,140,42,6705,375,47,328,264,135,299,127,434,81,12,59,175,50,127,54,356
"LANDB024B",-100.726374,28.26979,218,140,42,6705,375,47,328,264,135,299,127,434,81,12,59,175,50,127,54,356
"LANDB024C",-100.726374,28.26979,218,140,42,6705,375,47,328,264,135,299,127,434,81,12,59,175,50,127,54,356
"LANDB025A",-101.2166667,21.48333333,164,158,63,2480,286,37,249,186,140,191,130,598,160,8,96,354,32,152,33,2091
"LANDB025B",-101.2166667,21.48333333,164,158,63,2480,286,37,249,186,140,191,130,598,160,8,96,354,32,152,33,2091
"LANDB025C",-101.2166667,21.48333333,164,158,63,2480,286,37,249,186,140,191,130,598,160,8,96,354,32,152,33,2091
"LANDB026A",-97.75,21.1,241,97,51,3334,329,139,190,272,203,276,194,1252,240,39,62,581,121,513,136,88
"LANDB026B",-97.75,21.1,241,97,51,3334,329,139,190,272,203,276,194,1252,240,39,62,581,121,513,136,88
"LANDB026C",-97.75,21.1,241,97,51,3334,329,139,190,272,203,276,194,1252,240,39,62,581,121,513,136,88
"LANDB027A",-102.6666667,20.81666667,187,173,64,2556,315,48,267,211,178,216,151,898,243,5,111,605,22,433,37,2017
"LANDB027B",-102.6666667,20.81666667,187,173,64,2556,315,48,267,211,178,216,151,898,243,5,111,605,22,433,37,2017
"LANDB027C",-102.6666667,20.81666667,187,173,64,2556,315,48,267,211,178,216,151,898,243,5,111,605,22,433,37,2017
"LANDB028A",-98.38333333,21.51666667,247,112,53,3401,342,134,208,277,233,282,198,1091,221,26,69,509,96,414,119,42
"LANDB028B",-98.38333333,21.51666667,247,112,53,3401,342,134,208,277,233,282,198,1091,221,26,69,509,96,414,119,42
"LANDB028C",-98.38333333,21.51666667,247,112,53,3401,342,134,208,277,233,282,198,1091,221,26,69,509,96,414,119,42
"LANDB029A",-100.139433,20.175815,156,162,68,1968,272,37,235,171,129,178,129,753,169,6,96,456,27,216,27,2674
"LANDB029B",-100.139433,20.175815,156,162,68,1968,272,37,235,171,129,178,129,753,169,6,96,456,27,216,27,2674
"LANDB029C",-100.139433,20.175815,156,162,68,1968,272,37,235,171,129,178,129,753,169,6,96,456,27,216,27,2674
"LANDB030A",-104.4,20.8,216,163,64,2364,338,87,251,238,203,240,181,861,225,6,108,564,25,402,45,800
"LANDB030B",-104.4,20.8,216,163,64,2364,338,87,251,238,203,240,181,861,225,6,108,564,25,402,45,800
"LANDB030C",-104.4,20.8,216,163,64,2364,338,87,251,238,203,240,181,861,225,6,108,564,25,402,45,800
