row,DTP,GDUs,CLYB7A-21-,Who/What,Female genotype,Male genotype,plant_height,ear_height
36,82,1596.2,36,LANDB,LANDB001A,Bulk,215,90
37,87,1738.9,37,LANDB,LANDB002A,Bulk,255,120
38,83,1624.8,38,LANDB,LANDB003B,Bulk,215,80
39,82,1596.2,39,LANDB,LANDB003C,Bulk,220,110
40,87,1738.9,40,LANDB,LANDB004A,Bulk,210,95
41,75,1412.1,41,LANDB,LANDB005A,Bulk,195,80
42,78,1504.2,42,LANDB,LANDB006A,Bulk,185,65
43,89,1799.9,43,LANDB,LANDB006B,Bulk,170,80
44,78,1504.2,44,LANDB,LANDB006C,Bulk,205,80
45,83,1624.8,45,LANDB,LANDB007B,Bulk,185,50
46,78,1504.2,46,LANDB,LANDB007C,Bulk,175,50
47,87,1738.9,47,LANDB,LANDB008B,Bulk,250,110
48,83,1624.8,48,LANDB,LANDB010B,Bulk,220,85
49,83,1624.8,49,LANDB,LANDB012B,Bulk,225,80
50,84,1654.2,50,LANDB,LANDB014A,Bulk,190,90
51,,,51,LANDB,LANDB014B,Bulk,195,100
52,78,1504.2,52,LANDB,LANDB014C,Bulk,200,80
53,82,1596.2,53,LANDB,LANDB015B,Bulk,205,75
54,82,1596.2,54,LANDB,LANDB016A,Bulk,195,110
55,84,1654.2,55,LANDB,LANDB016B,Bulk,165,75
56,83,1624.8,56,LANDB,LANDB017A,Bulk,185,65
57,,,57,LANDB,LANDB017B,Bulk,195,80
58,83,1624.8,58,LANDB,LANDB017C,Bulk,220,90
59,85,1678.1,59,LANDB,LANDB018B,Bulk,200,90
60,,,60,LANDB,LANDB018C,Bulk,195,105
61,82,1596.2,61,LANDB,LANDB020C,Bulk,190,85
62,83,1624.8,62,LANDB,LANDB022A,Bulk,205,60
63,83,1624.8,63,LANDB,LANDB022B,Bulk,175,60
64,83,1624.8,64,LANDB,LANDB023C,Bulk,145,50
65,,,65,LANDB,LANDB024A,Bulk,150,30
66,87,1738.9,66,LANDB,LANDB024B,Bulk,210,65
67,88,1769.1,67,LANDB,LANDB024C,Bulk,190,80
70,83,1624.8,70,LANDB,LANDB025A,Bulk,175,70
71,83,1624.8,71,LANDB,LANDB025C,Bulk,230,80
72,88,1769.1,72,LANDB,LANDB026A,Bulk,195,75
73,89,1799.9,73,LANDB,LANDB026B,Bulk,245,100
74,84,1654.2,74,LANDB,LANDB026C,Bulk,215,70
75,89,1799.9,75,LANDB,LANDB027A,Bulk,215,65
76,82,1596.2,76,LANDB,LANDB027B,Bulk,190,80
77,83,1624.8,77,LANDB,LANDB028A,Bulk,205,90
78,83,1624.8,78,LANDB,LANDB028B,Bulk,180,65
79,83,1624.8,79,LANDB,LANDB028C,Bulk,180,80
80,,,80,LANDB,LANDB029A,BulkBulk8,195,70
81,84,1654.2,81,LANDB,LANDB029B,Bulk,180,60
82,,,82,LANDB,LANDB031A,Bulk,200,90
83,83,1624.8,83,LANDB,LANDB031C,Bulk,185,70
84,83,1624.8,84,LANDB,LANDB032A,Bulk,225,90
85,,,85,LANDB,LANDB032C,Bulk,200,85
86,87,1738.9,86,LANDB,LANDB033B,Bulk,215,70
87,82,1596.2,87,LANDB,LANDB034A,Bulk,170,60
88,83,1624.8,88,LANDB,LANDB034C,Bulk,180,65
89,83,1624.8,89,LANDB,LANDB035A,Bulk,180,70
90,83,1624.8,90,LANDB,LANDB036A,Bulk,220,60
91,83,1624.8,91,LANDB,LANDB036B,Bulk,210,80
92,,,92,LANDB,LANDB036C,Bulk,185,65
93,,,93,LANDB,LANDB038B,Bulk,175,60
94,83,1624.8,94,LANDB,LANDB039A,Bulk,225,80
95,87,1738.9,95,LANDB,LANDB039B,Bulk,190,75
96,84,1654.2,96,LANDB,LANDB041A,Bulk,195,70
97,88,1769.1,97,LANDB,LANDB041B,Bulk,215,85
98,83,1624.8,98,LANDB,LANDB042A,Bulk,220,125
99,89,1799.9,99,LANDB,LANDB042B,Bulk,225,105
100,87,1738.9,100,LANDB,LANDB042C,Bulk,260,120
101,83,1624.8,101,LANDB,LANDB043B,Bulk,120,105
104,86,1709.8,104,LANDB,LANDB045A,Bulk,180,85
105,86,1709.8,105,LANDB,LANDB045B,Bulk,170,65
106,83,1624.8,106,LANDB,LANDB046B,Bulk,205,85
107,77,1473.1,107,LANDB,LANDB048B,Bulk,210,95
108,82,1596.2,108,LANDB,LANDB048C,Bulk,210,75
109,88,1769.1,109,LANDB,LANDB049A,Bulk,205,80
110,83,1624.8,110,LANDB,LANDB049C,Bulk,200,65
111,82,1596.2,111,LANDB,LANDB051A,Bulk,225,75
112,,,112,LANDB,LANDB052B,Bulk,220,85
113,89,1799.9,113,LANDB,LANDB052C,Bulk,105,80
114,,,114,LANDB,LANDB053B,Bulk,165,60
115,,,115,LANDB,LANDB053C,Bulk,145,30
117,87,1738.9,117,LANDB,LANDB056C,Bulk,180,65
118,88,1769.1,118,LANDB,LANDB057B,Bulk,180,60
119,89,1799.9,119,LANDB,LANDB057C,Bulk,170,75
120,,,120,LANDB,LANDB058A,Bulk,,
121,,,121,LANDB,LANDB058B,Bulk,115,35
122,83,1624.8,122,LANDB,LANDB058C,Bulk,180,70
123,,,123,LANDB,LANDB060A,Bulk,190,70
124,86,1709.8,124,LANDB,LANDB060B,Bulk,195,70
125,83,1624.8,125,LANDB,LANDB060C,Bulk,210,80
126,83,1624.8,126,LANDB,LANDB061B,Bulk,220,60
127,78,1504.2,127,LANDB,LANDB062B,Bulk,175,70
128,75,1412.1,128,LANDB,LANDB063B,Bulk,200,70
129,83,1624.8,129,LANDB,LANDB064A,Bulk,175,75
130,87,1738.9,130,LANDB,LANDB064B,Bulk,215,90
131,83,1624.8,131,LANDB,LANDB065A,Bulk,185,50
132,,,132,LANDB,LANDB066A,Bulk,175,80
133,87,1738.9,133,LANDB,LANDB066B,Bulk,240,105
134,83,1624.8,134,LANDB,LANDB067A,Bulk,165,55
135,83,1624.8,135,LANDB,LANDB067B,Bulk,190,75
138,83,1624.8,138,LANDB,LANDB068A,Bulk,150,85
139,84,1654.2,139,LANDB,LANDB068B,Bulk,190,60
140,83,1624.8,140,LANDB,LANDB069A,Bulk,185,50
141,83,1624.8,141,LANDB,LANDB069C,Bulk,155,40
142,87,1738.9,142,LANDB,LANDB070A,Bulk,190,80
143,,,143,LANDB,LANDB070B,Bulk,235,90
144,83,1624.8,144,LANDB,LANDB070C,Bulk,200,80
145,77,1473.1,145,LANDB,LANDB071A,Bulk,175,50
146,,,146,LANDB,LANDB071B,Bulk,165,50
147,,,147,LANDB,LANDB071C,Bulk,160,55
148,84,1654.2,148,LANDB,LANDB073C,Bulk,145,40
149,86,1709.8,149,LANDB,LANDB074A,Bulk,180,70
150,83,1624.8,150,LANDB,LANDB074B,Bulk,200,90
151,87,1738.9,151,LANDB,LANDB074C,Bulk,185,70
152,86,1709.8,152,LANDB,LANDB077A,Bulk,145,70
153,,,153,LANDB,LANDB077C,Bulk,180,75
154,,,154,LANDB,LANDB078A,Bulk,170,75
155,,,155,LANDB,LANDB078B,Bulk,130,40
156,87,1738.9,156,LANDB,LANDB078C,Bulk,170,65
157,89,1799.9,157,LANDB,LANDB080A,Bulk,170,50
158,,,158,LANDB,LANDB080B,Bulk,150,50
159,86,1709.8,159,LANDB,LANDB081B,Bulk,190,80
160,86,1709.8,160,LANDB,LANDB082A,Bulk,190,70
161,84,1654.2,161,LANDB,LANDB082B,Bulk,205,80
162,83,1624.8,162,LANDB,LANDB083A,Bulk,185,70
163,87,1738.9,163,LANDB,LANDB083C,Bulk,190,90
164,85,1678.1,164,LANDB,LANDB088C,Bulk,165,55
165,82,1596.2,165,LANDB,LANDB089A,Bulk,160,70
166,78,1504.2,166,LANDB,LANDB089B,Bulk,180,60
167,82,1596.2,167,LANDB,LANDB090A,Bulk,205,90
168,,,168,LANDB,LANDB090B,Bulk,170,90
169,84,1654.2,169,LANDB,LANDB090C,Bulk,190,70
173,87,1738.9,173,LANDB,LANDB091C,Bulk,145,100
174,84,1654.2,174,LANDB,LANDB092A,Bulk,185,75
175,84,1654.2,175,LANDB,LANDB092B,Bulk,220,90
176,83,1624.8,176,LANDB,LANDB093C,Bulk,210,70
177,84,1654.2,177,LANDB,LANDB094B,Bulk,200,80
178,84,1654.2,178,LANDB,LANDB094C,Bulk,245,90
179,,,179,LANDB,LANDB095A,Bulk,225,90
180,84,1654.2,180,LANDB,LANDB095B,Bulk,205,70
181,83,1624.8,181,LANDB,LANDB095C,Bulk,215,90
182,,,182,LANDB,LANDB096B,Bulk,165,50
183,87,1738.9,183,LANDB,LANDB096C,Bulk,180,50
184,87,1738.9,184,LANDB,LANDB097B,Bulk,165,50
185,,,185,LANDB,LANDB097C,Bulk,210,100
186,,,186,LANDB,LANDB099A,Bulk,225,90
187,,,187,LANDB,LANDB099C,Bulk,145,50
188,83,1624.8,188,LANDB,LANDB100C,Bulk,175,60
189,88,1769.1,189,LANDB,LANDB101C,Bulk,185,60
190,84,1654.2,190,LANDB,LANDB102A,Bulk,155,48
191,,,191,LANDB,LANDB102B,Bulk,185,70
192,87,1738.9,192,LANDB,LANDB102C,Bulk,220,95
193,89,1799.9,193,LANDB,LANDB103B,Bulk,190,80
194,87,1738.9,194,LANDB,LANDB104A,Bulk,215,75
195,83,1624.8,195,LANDB,LANDB104B,Bulk,205,80
196,87,1738.9,196,LANDB,LANDB104C,Bulk,210,90
