Line,State,Line-id,line-plant,Donor,Pop,Donor_CIMMYT_ID,Donor_ID,Donor_Accession,Donor_Race,Donor_Lat,Donor_Lon,Donor_Ele,F1,BC1 (683),BC1_ALTERNATIVE,BC1S1 (650),BC1S2 (599),BC1S3 (452),BC1 S4 (414),BC1 S4 BULK1 (225),Bulk1 Weight (gr),BC1 S4 BULK2 ,Bulk2 Weight (gr),TC-T6,TC-Weight (gr)
LANDB001A,BC1S4-bulked,LANDB001,A,Mex_1-High,HiLo,CIMMYTMA-010234,NA,PUEB 552,CACAHUACINTLE,19,-97.38333333,2600,,RS17-78xB73,RS17-256xB73,RS17-6598.1@,UL18A-465@,UNISEM_18B_1525@,RS19-3064,PV21-1,635,CLY21-B7-36,116,,
LANDB001B,BC1S4,LANDB001,B,Mex_1-High,HiLo,CIMMYTMA-010234,NA,PUEB 552,CACAHUACINTLE,19,-97.38333333,2600,,RS17-78xB73,RS17-256xB73,RS17-6598.2@,UL18A-466@,PV21-1446,CLY21-614@,,,,,,
LANDB001C,BC1S4,LANDB001,C,Mex_1-High,HiLo,CIMMYTMA-010234,NA,PUEB 552,CACAHUACINTLE,19,-97.38333333,2600,,RS17-78xB73,RS17-256xB73,UNISEM_18B_1527@,UNISEM19A_RS-2(RS19-7002)@,UNISEM19B-12620,RS20-3355,,,,,,
LANDB002A,BC1S4-bulked,LANDB002,A,Mex_1-Low,HiLo,CIMMYTMA-005460,1621,GUER51,TUXPEN,18.35,-100.65,245,,RS17-79xB73,RS17-257xB73,RS17-6599.1@,UL18A-468@,UNISEM_18B_1528@,RS19-3065,PV21-2,686,CLY21-B7-37,721,,
LANDB002B,BC1S4,LANDB002,B,Mex_1-Low,HiLo,CIMMYTMA-005460,1621,GUER51,TUXPEN,18.35,-100.65,245,,RS17-79xB73,RS17-257xB73,RS17-6599.2@,UL18A-469@,UNISEM_18B_1529@,PV21-1450,,,,,,
LANDB002C,BC1S4,LANDB002,C,Mex_1-Low,HiLo,CIMMYTMA-005460,1621,GUER51,TUXPEN,18.35,-100.65,245,,RS17-79xB73,RS17-257xB73,UL18A-470@,UNISEM_18B_1530@,UNISEM19B-12621,RS20-3356,,,,,,
LANDB003A,BC1S4,LANDB003,A,Mex_10-High,HiLo,CIMMYTMA-027432,4332,CHIS846,,16.75,-92.63,2131,,RS17-109xB73,RS17-196xB73,RS17-6600.1@,UL18A-471@,UNISEM_18B_1531@,PV21-1451,,,,,,
LANDB003B,BC1S4-bulked,LANDB003,B,Mex_10-High,HiLo,CIMMYTMA-027432,4332,CHIS846,,16.75,-92.63,2131,,RS17-109xB73,RS17-196xB73,RS17-6600.2@,UL18A-472@,UNISEM_18B_1532@,RS19-3068,PV21-3,300,CLY21-B7-38,59,,
LANDB003C,BC1S4-bulked,LANDB003,C,Mex_10-High,HiLo,CIMMYTMA-027432,4332,CHIS846,,16.75,-92.63,2131,,RS17-109xB73,RS17-196xB73,RS17-6600.3@,UL18A-473@,UNISEM_18B_1533@,RS19-3069,PV21-4,809,CLY21-B7-39,93,,
LANDB004A,BC1S4-bulked,LANDB004,A,Mex_10-Low,HiLo,CIMMYTMA-025027,26589,OAXA520,ZAPCHI,16.478858,-95.001338,28,,RS17-197xB73,,RS17-6601.1@,UL18A-474@,UNISEM_18B_1534@,RS19-3070,PV21-5,539,CLY21-B7-40,131,,
LANDB004B,BC1S4,LANDB004,B,Mex_10-Low,HiLo,CIMMYTMA-025027,26589,OAXA520,ZAPCHI,16.478858,-95.001338,28,,RS17-197xB73,,RS17-6601.2@,UL18A-475@,UNISEM_18B_1535@,RS19-3071,,,,,,
LANDB004C,BC1S4,LANDB004,C,Mex_10-Low,HiLo,CIMMYTMA-025027,26589,OAXA520,ZAPCHI,16.478858,-95.001338,28,,RS17-197xB73,,UL18A-476@,UNISEM19A_RS-4(RS19-7004)@,UNISEM19B-12622,RS20-3357,,,,,,
LANDB005A,BC1S4-bulked,LANDB005,A,Mex_11-High,HiLo,CIMMYTMA-021008,23354,CHIH369,HEMBRA,29.354404,-107.755055,2145,,RS17-96xB73,RS17-158xB73,RS17-6602.1@,UL18A-477@,UNISEM_18B_1537@,RS19-3072,PV21-6,198,,,,
LANDB005B,BC1S4,LANDB005,B,Mex_11-High,HiLo,CIMMYTMA-021008,23354,CHIH369,HEMBRA,29.354404,-107.755055,2145,,RS17-96xB73,RS17-158xB73,RS17-6602.2@,UL18A-478@,UNISEM_18B_1538@,PV21-1452,,,,,,
