Line,Donor_Lat,Donor_Lon,Donor_Ele
LANDB001A,19,-97.38333333,2600
LANDB001B,19,-97.38333333,2600
LANDB001C,19,-97.38333333,2600
LANDB002A,18.35,-100.65,245
LANDB002B,18.35,-100.65,245
LANDB002C,18.35,-100.65,245
LANDB003A,16.75,-92.63,2131
LANDB003B,16.75,-92.63,2131
LANDB003C,16.75,-92.63,2131
LANDB004A,16.478858,-95.001338,28
LANDB004B,16.478858,-95.001338,28
LANDB004C,16.478858,-95.001338,28
LANDB005A,29.354404,-107.755055,2145
LANDB005B,29.354404,-107.755055,2145
LANDB005C,29.354404,-107.755055,2145
LANDB006A,29.566727,-104.563018,798
LANDB006B,29.566727,-104.563018,798
LANDB006C,29.566727,-104.563018,798
LANDB007A,22.902593,-103.478062,2019
LANDB007B,22.902593,-103.478062,2019
LANDB007C,22.902593,-103.478062,2019
LANDB008A,21.93333333,-100,994
LANDB008B,21.93333333,-100,994
LANDB008C,21.93333333,-100,994
LANDB009A,20.7,-99.8,2039
LANDB009B,20.7,-99.8,2039
LANDB009C,20.7,-99.8,2039
LANDB010A,21.2,-105.1666667,8
LANDB010B,21.2,-105.1666667,8
LANDB010C,21.2,-105.1666667,8
LANDB011A,17.190837,-97.867153,2338
LANDB011B,17.190837,-97.867153,2338
LANDB011C,17.190837,-97.867153,2338
LANDB012A,16.7,-93.71666667,547
LANDB012B,16.7,-93.71666667,547
LANDB012C,16.7,-93.71666667,547
LANDB013A,19.65,-102.2666667,2287
LANDB013B,19.65,-102.2666667,2287
LANDB013C,19.65,-102.2666667,2287
LANDB014A,18.71666667,-99.36666667,952
LANDB014B,18.71666667,-99.36666667,952
LANDB014C,18.71666667,-99.36666667,952
LANDB015A,28.53333333,-106.6333333,2141
LANDB015B,28.53333333,-106.6333333,2141
LANDB015C,28.53333333,-106.6333333,2141
LANDB016A,29.43544,-110.367266,390
LANDB016B,29.43544,-110.367266,390
LANDB016C,29.43544,-110.367266,390
LANDB017A,17.45,-97.21666667,2083
LANDB017B,17.45,-97.21666667,2083
LANDB017C,17.45,-97.21666667,2083
LANDB018A,17.08333333,-89.13333333,97
LANDB018B,17.08333333,-89.13333333,97
LANDB018C,17.08333333,-89.13333333,97
LANDB019A,21.01666667,-102.1666667,2055
LANDB019B,21.01666667,-102.1666667,2055
LANDB019C,21.01666667,-102.1666667,2055
LANDB020A,21.71666667,-104.8833333,177
LANDB020B,21.71666667,-104.8833333,177
LANDB020C,21.71666667,-104.8833333,177
LANDB021A,21.88333333,-101.5833333,2213
LANDB021B,21.88333333,-101.5833333,2213
LANDB021C,21.88333333,-101.5833333,2213
LANDB022A,22.274119,-104.469957,648
LANDB022B,22.274119,-104.469957,648
LANDB022C,22.274119,-104.469957,648
LANDB023A,28.55,-107.5,2046
LANDB023B,28.55,-107.5,2046
LANDB023C,28.55,-107.5,2046
LANDB024A,28.26979,-100.726374,356
LANDB024B,28.26979,-100.726374,356
LANDB024C,28.26979,-100.726374,356
LANDB025A,21.48333333,-101.2166667,2091
LANDB025B,21.48333333,-101.2166667,2091
LANDB025C,21.48333333,-101.2166667,2091
LANDB026A,21.1,-97.75,88
LANDB026B,21.1,-97.75,88
LANDB026C,21.1,-97.75,88
LANDB027A,20.81666667,-102.6666667,2017
LANDB027B,20.81666667,-102.6666667,2017
LANDB027C,20.81666667,-102.6666667,2017
LANDB028A,21.51666667,-98.38333333,42
LANDB028B,21.51666667,-98.38333333,42
LANDB028C,21.51666667,-98.38333333,42
LANDB029A,20.175815,-100.139433,2674
LANDB029B,20.175815,-100.139433,2674
LANDB029C,20.175815,-100.139433,2674
LANDB030A,20.8,-104.4,800
LANDB030B,20.8,-104.4,800
LANDB030C,20.8,-104.4,800
LANDB031A,19.499015,-101.582675,2280
LANDB031B,19.499015,-101.582675,2280
LANDB031C,19.499015,-101.582675,2280
LANDB032A,20.32,-96.87,5
LANDB032B,20.32,-96.87,5
LANDB032C,20.32,-96.87,5
LANDB033A,19.97,-99.52,2418
LANDB033B,19.97,-99.52,2418
LANDB033C,19.97,-99.52,2418
LANDB034A,19.855393,-96.708139,372
LANDB034B,19.855393,-96.708139,372
LANDB034C,19.855393,-96.708139,372
LANDB035A,29.65,-108.25,2141
LANDB035B,29.65,-108.25,2141
LANDB035C,29.65,-108.25,2141
LANDB036A,28.975149,-109.395459,454
LANDB036B,28.975149,-109.395459,454
LANDB036C,28.975149,-109.395459,454
LANDB037A,24.470342,-104.120767,2030
LANDB037B,24.470342,-104.120767,2030
LANDB037C,24.470342,-104.120767,2030
LANDB038A,24.824405,-107.460246,46
LANDB038B,24.824405,-107.460246,46
LANDB038C,24.824405,-107.460246,46
LANDB039A,19.68333333,-99.13333333,2256
LANDB039B,19.68333333,-99.13333333,2256
LANDB039C,19.68333333,-99.13333333,2256
LANDB041A,21.01666667,-101.25,2064
LANDB041B,21.01666667,-101.25,2064
LANDB041C,21.01666667,-101.25,2064
LANDB042A,21.445085,-99.632358,562
LANDB042B,21.445085,-99.632358,562
LANDB042C,21.445085,-99.632358,562
LANDB045A,19.71,-97.24,2220
LANDB045B,19.71,-97.24,2220
LANDB045C,19.71,-97.24,2220
LANDB046A,20.31666667,-105.3333333,655
LANDB046B,20.31666667,-105.3333333,655
LANDB046C,20.31666667,-105.3333333,655
LANDB047A,23.13333333,-101.1166667,2043
LANDB047B,23.13333333,-101.1166667,2043
LANDB047C,23.13333333,-101.1166667,2043
LANDB048A,22.417143,-105.46224,11
LANDB048B,22.417143,-105.46224,11
LANDB048C,22.417143,-105.46224,11
LANDB049A,16.9,-96.26666667,2164
LANDB049B,16.9,-96.26666667,2164
LANDB049C,16.9,-96.26666667,2164
LANDB050A,17.560971,-101.262247,52
LANDB050B,17.560971,-101.262247,52
LANDB050C,17.560971,-101.262247,52
LANDB051A,19.31666667,-97.91666667,2492
LANDB051B,19.31666667,-97.91666667,2492
LANDB051C,19.31666667,-97.91666667,2492
LANDB052A,18.589859,-95.436809,30
LANDB052B,18.589859,-95.436809,30
LANDB052C,18.589859,-95.436809,30
LANDB053A,19.28333333,-98.43333333,2261
LANDB053B,19.28333333,-98.43333333,2261
LANDB053C,19.28333333,-98.43333333,2261
LANDB054A,19.33205,-103.731987,720
LANDB054B,19.33205,-103.731987,720
LANDB054C,19.33205,-103.731987,720
LANDB056A,21.062344,-98.870068,436
LANDB056B,21.062344,-98.870068,436
LANDB056C,21.062344,-98.870068,436
LANDB057A,-17.55,-65.83333333,2725
LANDB057B,-17.55,-65.83333333,2725
LANDB057C,-17.55,-65.83333333,2725
LANDB058A,-17.898168,-63.308388,516
LANDB058B,-17.898168,-63.308388,516
LANDB058C,-17.898168,-63.308388,516
LANDB059A,-8.563063,-77.77292,3412
LANDB059B,-8.563063,-77.77292,3412
LANDB059C,-8.563063,-77.77292,3412
LANDB060A,-8.444628,-76.471549,580
LANDB060B,-8.444628,-76.471549,580
LANDB060C,-8.444628,-76.471549,580
LANDB061A,-17.450516,-70.051311,3206
LANDB061B,-17.450516,-70.051311,3206
LANDB061C,-17.450516,-70.051311,3206
LANDB062A,-18.345503,-59.590785,613
LANDB062B,-18.345503,-59.590785,613
LANDB062C,-18.345503,-59.590785,613
LANDB063A,-18.18333333,-65.08333333,2520
LANDB063B,-18.18333333,-65.08333333,2520
LANDB063C,-18.18333333,-65.08333333,2520
LANDB064A,-18.965107,-57.827936,120
LANDB064B,-18.965107,-57.827936,120
LANDB064C,-18.965107,-57.827936,120
LANDB065A,-23.2,-65.35,2973
LANDB065B,-23.2,-65.35,2973
LANDB065C,-23.2,-65.35,2973
LANDB066A,-22.537684,-64.40514,559
LANDB066B,-22.537684,-64.40514,559
LANDB066C,-22.537684,-64.40514,559
LANDB067A,-21.36666667,-65.23333333,2900
LANDB067B,-21.36666667,-65.23333333,2900
LANDB067C,-21.36666667,-65.23333333,2900
LANDB068A,-21.91666667,-63.66666667,640
LANDB068B,-21.91666667,-63.66666667,640
LANDB068C,-21.91666667,-63.66666667,640
LANDB069A,-12.634544,-74.86529,3263
LANDB069B,-12.634544,-74.86529,3263
LANDB069C,-12.634544,-74.86529,3263
LANDB070A,-12.623998,-73.094775,751
LANDB070B,-12.623998,-73.094775,751
LANDB070C,-12.623998,-73.094775,751
LANDB071A,-6.55,-78.65,2391
LANDB071B,-6.55,-78.65,2391
LANDB071C,-6.55,-78.65,2391
LANDB073A,-11.904015,-75.321984,3315
LANDB073B,-11.904015,-75.321984,3315
LANDB073C,-11.904015,-75.321984,3315
LANDB074A,-12,-70.25,234
LANDB074B,-12,-70.25,234
LANDB074C,-12,-70.25,234
LANDB076A,-10.33333333,-74.9,252
LANDB076B,-10.33333333,-74.9,252
LANDB076C,-10.33333333,-74.9,252
LANDB077A,5.399671,-73.101212,2150
LANDB077B,5.399671,-73.101212,2150
LANDB077C,5.399671,-73.101212,2150
LANDB078A,5.32,-74.92,840
